BR;UF;CODIGO;LOCAL_INI;LOCAL_FIM;KM_INI;KM_FIM;EXTENSAO;SUPERFICIE;TR_COINCID;EST_COND;SUPERFICIE_ESTADUAL;ANO
101;SC;101BSC3931;ENTR BR-470 (P/NAVEGANTES);ENTR SC-419 (P/ILHOTA);111.3;117.3;6;DUP;;;;2009
101;SC;101BSC3950;ENTR SC-419 (P/ILHOTA);ENTR BR-486(A) (P/ITAJAÍ);117.3;120.7;3.4;DUP;;;;2009
101;SC;101BSC3970;ENTR BR-486(A) (P/ITAJAÍ);ENTR BR-486(B) (P/BRUSQUE);120.7;123.1;2.4;DUP;486BSC0030;;;2009
101;SC;101BSC3990;ENTR BR-486(B) (P/BRUSQUE);BALNEÁRIO DE CAMBORIÚ;123.1;133;9.9;DUP;;;;2009
101;SC;101BSC4010;BALNEÁRIO DE CAMBORIÚ;P/PORTO BELO;133;155;22;DUP;;;;2009
101;SC;101BSC4020;P/PORTO BELO;ENTR SC-411 (TIJUCAS);155;163.6;8.6;DUP;;;;2009
101;SC;101BSC4030;ENTR SC-411 (TIJUCAS);ENTR SC-410(A) (P/GOVERNADOR  CELSO RAMOS);163.6;179.6;16;DUP;;;;2009
101;SC;101BSC4040;ENTR SC-410(A) (P/GOVERNADOR  CELSO RAMOS);ENTR SC-410(B) (P/ARMAÇÃO DA PIEDADE);179.6;182.4;2.8;DUP;;;;2009
101;SC;101BSC4043;ENTR SC-410(B) (P/ARMAÇÃO DA PIEDADE);ENTR SC-408 (BIGUAÇU);182.4;193;10.6;DUP;;;;2009
101;SC;101BSC4050;ENTR SC-408 (BIGUAÇU);ACESSO NORTE FLORIANÓPOLIS;193;203.1;10.1;DUP;;;;2009
101;SC;101BSC4070;ACESSO NORTE FLORIANÓPOLIS;ENTR BR-282(A);203.1;205.4;2.3;DUP;;;;2009
101;SC;101BSC4090;ENTR BR-282(A);ENTR SC-407 (SÃO JOSÉ);205.4;209.6;4.2;DUP;282BSC0020;;;2009
101;SC;101BSC4100;ENTR SC-407 (SÃO JOSÉ);ENTR BR-282(B) (PALHOÇA);209.6;215.5;5.9;DUP;282BSC0025;;;2009
101;RS;101BRS4420;INÍCIO PISTA DUPLA;ENTR BR-290/RS-030(A) (OSÓRIO);95.3;100.1;4.8;DUP;;;;2009
116;CE;116BCE0015;FORTALEZA (AVENIDA 13 DE MAIO);ENTR CE-040 (P/MESSEJANA);0;12.2;12.2;DUP;;;;2009
116;CE;116BCE0020;ENTR CE-040 (P/MESSEJANA);ACESSO SUL MESSEJANA;12.2;14.4;2.2;DUP;;;;2009
116;CE;116BCE0030;ACESSO SUL MESSEJANA;ENTR CE-350(A) (ITAITINGA);14.4;26.7;12.3;DUP;;;;2009
116;CE;116BCE0050;ENTR CE-350(A) (ITAITINGA);ENTR CE-350(B) (COLUNA);26.7;35.3;8.6;DUP;;;;2009
116;MG;116BMG1275;INÍCIO PISTA DUPLA;FIM PISTA DUPLA;527.7;529.4;1.7;DUP;;;;2009
116;RJ;116BRJ1625;RIO CORUJAS;ENTR RJ-122 (PARADA MODELO);107.1;109.5;2.4;DUP;;;;2009
116;RJ;116BRJ1630;ENTR RJ-122 (PARADA MODELO);ENTR RJ-112;109.5;115.5;6;DUP;;;;2009
116;RJ;116BRJ1650;ENTR RJ-112;ENTR BR-493(A) (P/MAGÉ);115.5;126.3;10.8;DUP;;;;2009
116;RJ;116BRJ1670;ENTR BR-493(A) (P/MAGÉ);ENTR RJ-107 (IMBARIÊ);126.3;141.3;15;DUP;493BRJ0070;;;2009
116;RJ;116BRJ1690;ENTR RJ-107 (IMBARIÊ);ENTR BR-040(A)/493(B)/RJ-109;141.3;148.4;7.1;DUP;493BRJ0090;;;2009
116;RJ;116BRJ1710;ENTR BR-040(A)/493(B)/RJ-109;ENTR RJ-105;148.4;151.1;2.7;DUP;040BRJ0950;;;2009
116;RJ;116BRJ1730;ENTR RJ-105;ENTR RJ-103;151.1;156.6;5.5;DUP;040BRJ0970;;;2009
116;RJ;116BRJ1750;ENTR RJ-103;ENTR RJ-071/081 (LINHA VERMELHA);156.6;163.6;7;DUP;040BRJ0990;;;2009
116;RJ;116BRJ1760;ENTR RJ-071/081 (LINHA VERMELHA);ENTR BR-040(B)/101(A) (TREVO DAS MISSÕES);163.6;164.8;1.2;DUP;040BRJ0995;;;2009
116;RJ;116BRJ1770;ENTR BR-040(B)/101(A) (TREVO DAS MISSÕES);ENTR RJ-101 (PARADA DE LUCAS);164.8;166.1;1.3;DUP;101BRJ3190;;;2009
116;RJ;116BRJ1780;ENTR RJ-101 (PARADA DE LUCAS);ENTR BR-101(B) (TREVO DAS MARGARIDAS);166.1;168.1;2;DUP;101BRJ3200;;;2009
116;RJ;116BRJ1790;ENTR BR-101(B) (TREVO DAS MARGARIDAS);ENTR RJ-083;168.1;171.3;3.2;DUP;;;;2009
116;RJ;116BRJ1800;ENTR RJ-083;ENTR RJ-085 (SÃO JOÃO DO MERITI);171.3;174.2;2.9;DUP;;;;2009
116;RJ;116BRJ1810;ENTR RJ-085 (SÃO JOÃO DO MERITI);ENTR RJ-103 (COELHO DA ROCHA);174.2;177.9;3.7;DUP;;;;2009
116;RJ;116BRJ1830;ENTR RJ-103 (COELHO DA ROCHA);ENTR RJ-105 (P/NOVA IGUAÇU);177.9;181.3;3.4;DUP;;;;2009
116;RJ;116BRJ1850;ENTR RJ-105 (P/NOVA IGUAÇU);ENTR RJ-111;181.3;185.4;4.1;DUP;;;;2009
116;RJ;116BRJ1853;ENTR RJ-111;ENTR RJ-109;185.4;196.1;10.7;DUP;;;;2009
116;RJ;116BRJ1870;ENTR RJ-109;ENTR RJ-093;196.1;204.3;8.2;DUP;;;;2009
116;RJ;116BRJ1890;ENTR RJ-093;ENTR RJ-125 (P/JAPERI);204.3;211.7;7.4;DUP;;;;2009
116;RJ;116BRJ1910;ENTR RJ-125 (P/JAPERI);ENTR BR-465;211.7;214.7;3;DUP;;;;2009
116;RJ;116BRJ1930;ENTR BR-465;ENTR RJ-127 (P/PARACAMBI);214.7;217.7;3;DUP;;;;2009
116;RJ;116BRJ1950;ENTR RJ-127 (P/PARACAMBI);ENTR PISTA INVERSA (A);217.7;225.5;7.8;DUP;;;;2009
116;RJ;116BRJ1970;ENTR PISTA INVERSA (A);ENTR PISTA INVERSA (B);225.5;233.3;7.8;DUP;;;;2009
116;RJ;116BRJ1990;ENTR PISTA INVERSA (B);ENTR RJ-139;233.3;238.2;4.9;DUP;;;;2009
116;RJ;116BRJ2010;ENTR RJ-139;ENTR RJ-145 (P/PIRAÍ);238.2;243.2;5;DUP;;;;2009
116;RJ;116BRJ2050;ENTR RJ-145 (P/PIRAÍ);ENTR BR-393/494 (P/VOLTA REDONDA);243.2;271;27.8;DUP;;;;2009
116;RJ;116BRJ2070;ENTR BR-393/494 (P/VOLTA REDONDA);ENTR RJ-155 (BARRA MANSA);271;276.4;5.4;DUP;;;;2009
116;RJ;116BRJ2090;ENTR RJ-155 (BARRA MANSA);ENTR RJ-157;276.4;278.9;2.5;DUP;;;;2009
116;RJ;116BRJ2110;ENTR RJ-157;ENTR RJ-159 (FLORIANO);278.9;296.1;17.2;DUP;;;;2009
116;RJ;116BRJ2130;ENTR RJ-159 (FLORIANO);ENTR RJ-161 (RESENDE);296.1;310.8;14.7;DUP;;;;2009
116;RJ;116BRJ2150;ENTR RJ-161 (RESENDE);ENTR RJ-163 (P/PENEDO);310.8;316.9;6.1;DUP;;;;2009
116;RJ;116BRJ2170;ENTR RJ-163 (P/PENEDO);ENTR BR-485 (ITATIAIA);316.9;324.2;7.3;DUP;;;;2009
116;RJ;116BRJ2190;ENTR BR-485 (ITATIAIA);ENTR BR-354 (ENGENHEIRO PASSOS);324.2;336.1;11.9;DUP;;;;2009
116;RJ;116BRJ2210;ENTR BR-354 (ENGENHEIRO PASSOS);DIV RJ/SP;336.1;339.6;3.5;DUP;;;;2009
116;SP;116BSP2230;DIV RJ/SP;ENTR SP-054;0;5;5;DUP;;;;2009
116;SP;116BSP2243;ENTR SP-054;ENTR SP-058(A) (QUELUZ);5;8.4;3.4;DUP;;;;2009
116;SP;116BSP2250;ENTR SP-058(A) (QUELUZ);ENTR SP-058(B);8.4;13.6;5.2;DUP;;;;2009
116;SP;116BSP2255;ENTR SP-058(B);ACESSO LAVRINHAS;13.6;21.7;8.1;DUP;;;;2009
116;SP;116BSP2265;ACESSO LAVRINHAS;ACESSO CRUZEIRO;21.7;28.6;6.9;DUP;;;;2009
116;SP;116BSP2270;ACESSO CRUZEIRO;ENTR SP-068 (P/SILVEIRAS);28.6;36.3;7.7;DUP;;;;2009
116;SP;116BSP2290;ENTR SP-068 (P/SILVEIRAS);ENTR SP-058/062 (CACHOEIRA PAULISTA);36.3;39.1;2.8;DUP;;;;2009
